method	run_name	context_source	context_weight	object	seg_AUROC_0.05	seg_F1	delta_AUROC_vs_no_context	delta_F1_vs_no_context	superad16_AUROC_0.05	delta_AUROC_vs_superad16	superad16_F1	delta_F1_vs_superad16	superadd_reported_AUROC_0.05	delta_AUROC_vs_superadd_reported	superadd_reported_F1	delta_F1_vs_superadd_reported
Context CLS+register w1	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_clsreg_w1_dw025_20260707_v1	cls_register	1.0	walnuts	0.8792525379757835	0.6916115690134712	0.0006790918210305419	0.0013310285841861003	0.8838336016160715	-0.004581063640287986	0.7187869381783508	-0.027175369164879615	0.9003	-0.02104746202421648	0.7569	-0.06528843098652881
Context CLS+register w1	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_clsreg_w1_dw025_20260707_v1	cls_register	1.0	sheet_metal	0.7650299423985404	0.42758798400485654	0.00022128405012156183	0.00031525444944779935	0.7729896874005413	-0.007959745002000918	0.40204330563402774	0.0255446783708288	0.9318000000000001	-0.1667700576014597	0.5954	-0.1678120159951435
Context CLS w5	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_cls_w5_dw025_20260707_v1	cls	5.0	can	0.665370537826757	0.00621349700933068	-0.0015823892898996217	-0.0005498093001511679	0.5869504558698861	0.07842008195687089	0.0015529473646858935	0.004660549644644786	0.5161	0.14927053782675703	0.0	0.00621349700933068
Context CLS w5	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_cls_w5_dw025_20260707_v1	cls	5.0	fabric	0.8179284815848906	0.38861992079807217	0.038399136819414204	0.05192583126724576	0.6878531287790469	0.1300753528058437	0.27523884960281947	0.1133810711952527	0.8420000000000001	-0.02407151841510946	0.9373999999999999	-0.5487800792019277
Context CLS w5	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_cls_w5_dw025_20260707_v1	cls	5.0	fruit_jelly	0.811793887359431	0.5304711996366852	-0.0019373692680106913	-0.006507518586625793	0.7978415688130558	0.013952318546375242	0.45315478588150393	0.07731641375518128	0.8119	-0.00010611264056892278	0.5468	-0.016328800363314744
Context CLS w5	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_cls_w5_dw025_20260707_v1	cls	5.0	rice	0.9444544076400466	0.6924253474464637	-2.1255710536682848e-05	-4.36065092223048e-05	0.9283969240511856	0.016057483588861055	0.6658665235111987	0.026558823935264986	0.9611	-0.016645592359953332	0.7331	-0.040674652553536306
Context CLS w5	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_cls_w5_dw025_20260707_v1	cls	5.0	vial	0.7119226970265204	0.39866613694798514	0.0031823280276371824	0.001295408776124829	0.6926503427427729	0.019272354283747517	0.3682480423323002	0.030418094615684954	0.8259000000000001	-0.11397730297347963	0.6476999999999999	-0.2490338630520148
Context CLS w5	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_cls_w5_dw025_20260707_v1	cls	5.0	wallplugs	0.8483133513429066	0.40848249217306193	-0.0006876782981566354	-0.0031812906180662126	0.7759002668944561	0.07241308444845052	0.19938179661694835	0.20910069555611357	0.9253	-0.07698664865709337	0.7916	-0.38311750782693804
Context CLS w5	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_cls_w5_dw025_20260707_v1	cls	5.0	walnuts	0.8808565054092674	0.69406674089908	0.0022830592545144412	0.0037862004697949425	0.8838336016160715	-0.0029770962068040863	0.7187869381783508	-0.024720197279270772	0.9003	-0.01944349459073258	0.7569	-0.06283325910091997
Context CLS w5	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_cls_w5_dw025_20260707_v1	cls	5.0	sheet_metal	0.7661426957116493	0.42859808186886783	0.0013340373632304559	0.0013253523134590939	0.7729896874005413	-0.0068469916888920235	0.40204330563402774	0.026554776234840094	0.9318000000000001	-0.1656573042883508	0.5954	-0.1668019181311322
Context register w5	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_register_w5_dw025_20260707_v1	register	5.0	can	0.6663555906015318	0.00657914202178164	-0.0005973365151248355	-0.0001841642877002071	0.5869504558698861	0.07940513473164568	0.0015529473646858935	0.005026194657095747	0.5161	0.15025559060153182	0.0	0.00657914202178164
Context register w5	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_register_w5_dw025_20260707_v1	register	5.0	fabric	0.7865303320392176	0.3458692309191598	0.0070009872737412104	0.009175141388333363	0.6878531287790469	0.09867720326017071	0.27523884960281947	0.07063038131634031	0.8420000000000001	-0.055469667960782454	0.9373999999999999	-0.5915307690808401
Context register w5	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_register_w5_dw025_20260707_v1	register	5.0	fruit_jelly	0.8131564821876159	0.5349883260629246	-0.000574774439825787	-0.001990392160386434	0.7978415688130558	0.015314913374560146	0.45315478588150393	0.08183354018142064	0.8119	0.0012564821876159815	0.5468	-0.011811673937075384
Context register w5	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_register_w5_dw025_20260707_v1	register	5.0	rice	0.9444742288517183	0.6924712284907002	-1.4344988650272228e-06	2.274535014223922e-06	0.9283969240511856	0.01607730480053271	0.6658665235111987	0.026604704979501514	0.9611	-0.016625771148281676	0.7331	-0.04062877150929978
Context register w5	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_register_w5_dw025_20260707_v1	register	5.0	vial	0.7098700688510395	0.3983078692106011	0.001129699852156274	0.000937141038740763	0.6926503427427729	0.01721972610826661	0.3682480423323002	0.030059826878300888	0.8259000000000001	-0.11602993114896054	0.6476999999999999	-0.24939213078939887
Context register w5	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_register_w5_dw025_20260707_v1	register	5.0	wallplugs	0.8485880905163281	0.40904327103839233	-0.0004129391247351677	-0.00262051175273581	0.7759002668944561	0.07268782362187198	0.19938179661694835	0.20966147442144398	0.9253	-0.0767119094836719	0.7916	-0.38255672896160764
Context register w5	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_register_w5_dw025_20260707_v1	register	5.0	walnuts	0.880416840999148	0.6929861905317187	0.0018433948443949966	0.002705650102433621	0.8838336016160715	-0.003416760616923531	0.7187869381783508	-0.025800747646632094	0.9003	-0.019883159000852024	0.7569	-0.06391380946828129
Context register w5	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_register_w5_dw025_20260707_v1	register	5.0	sheet_metal	0.7650021692573142	0.4274835430241377	0.00019351090889541123	0.00021081346872897644	0.7729896874005413	-0.007987518143227068	0.40204330563402774	0.025440237390109977	0.9318000000000001	-0.16679783074268584	0.5954	-0.16791645697586233
Context CLS+register w5	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_clsreg_w5_dw025_20260707_v1	cls_register	5.0	can	0.6656492440817421	0.006293766659778227	-0.0013036830349145712	-0.0004695396497036205	0.5869504558698861	0.07869878821185594	0.0015529473646858935	0.004740819295092334	0.5161	0.14954924408174208	0.0	0.006293766659778227
Context CLS+register w5	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_clsreg_w5_dw025_20260707_v1	cls_register	5.0	fabric	0.8081468709385347	0.3748127396852651	0.02861752617305824	0.03811865015443866	0.6878531287790469	0.12029374215948774	0.27523884960281947	0.0995738900824456	0.8420000000000001	-0.033853129061465426	0.9373999999999999	-0.5625872603147348
Context CLS+register w5	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_clsreg_w5_dw025_20260707_v1	cls_register	5.0	fruit_jelly	0.8121843860276261	0.5317288517167681	-0.0015468705998156196	-0.005249866506542911	0.7978415688130558	0.014342817214570314	0.45315478588150393	0.07857406583526416	0.8119	0.00028438602762614895	0.5468	-0.015071148283231861
Context CLS+register w5	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_clsreg_w5_dw025_20260707_v1	cls_register	5.0	rice	0.944460445345549	0.6924386528478933	-1.5218005034345339e-05	-3.030110779267403e-05	0.9283969240511856	0.016063521294363392	0.6658665235111987	0.026572129336694617	0.9611	-0.016639554654450994	0.7331	-0.040661347152106675
Context CLS+register w5	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_clsreg_w5_dw025_20260707_v1	cls_register	5.0	vial	0.7113990759007822	0.3986394811603924	0.002658706901898955	0.0012687529885320736	0.6926503427427729	0.01874873315800929	0.3682480423323002	0.0303914388280922	0.8259000000000001	-0.11450092409921786	0.6476999999999999	-0.24906051883960756
Context CLS+register w5	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_clsreg_w5_dw025_20260707_v1	cls_register	5.0	wallplugs	0.8483952741605947	0.40863925497858894	-0.000605755480468595	-0.0030245278125392017	0.7759002668944561	0.07249500726613856	0.19938179661694835	0.20925745836164059	0.9253	-0.07690472583940533	0.7916	-0.38296074502141103
Context CLS+register w5	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_clsreg_w5_dw025_20260707_v1	cls_register	5.0	walnuts	0.8807380077186517	0.6937394617663787	0.0021645615638987703	0.003458921337093579	0.8838336016160715	-0.003095593897419757	0.7187869381783508	-0.025047476411972136	0.9003	-0.01956199228134825	0.7569	-0.06316053823362133
Context CLS+register w5	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_clsreg_w5_dw025_20260707_v1	cls_register	5.0	sheet_metal	0.7658253752058225	0.42843937383392033	0.0010167168574036767	0.0011666442785115971	0.7729896874005413	-0.007164312194718803	0.40204330563402774	0.026396068199892597	0.9318000000000001	-0.16597462479417757	0.5954	-0.1669606261660797
