object	scenario	component	good_top_mean	bad_top_mean	delta_bad_good
walnuts	denoised_support_denoised_query	feature_nn	0.46531573	0.52801478	0.06269905
walnuts	denoised_support_denoised_query	final_score	5.82874727	6.81571960	0.98697233
walnuts	denoised_support_denoised_query	latent_distance_norm	4.99781847	5.86751509	0.86969662
walnuts	denoised_support_raw_query	density_penalty	3.62925935	4.20154953	0.57229018
walnuts	denoised_support_raw_query	feature_nn	0.51588076	0.56575650	0.04987574
walnuts	denoised_support_raw_query	final_score	5.88509941	6.80930567	0.92420626
walnuts	denoised_support_raw_query	latent_distance_norm	5.16705275	5.94894552	0.78189277
walnuts	raw_support_denoised_query	density_penalty	4.95443296	5.77871752	0.82428456
walnuts	raw_support_denoised_query	feature_nn	0.49186656	0.55332005	0.06145349
walnuts	raw_support_denoised_query	final_score	6.61656618	7.94370127	1.32713509
walnuts	raw_support_denoised_query	latent_distance_norm	5.70135736	6.86186981	1.16051245
walnuts	raw_support_raw_query	density_penalty	4.09193611	4.96496010	0.87302399
walnuts	raw_support_raw_query	feature_nn	0.46088174	0.51656276	0.05568102
walnuts	raw_support_raw_query	final_score	5.66341400	6.99440908	1.33099508
walnuts	raw_support_raw_query	latent_distance_norm	4.92820978	6.11189270	1.18368292
